800	1.0000     -0.0000     1.0000	-119.9999      1.0000     119.9999                               
802	0.9996     -0.0090     0.9994	-120.0061      0.9994     119.9841                               
806	0.9993     -0.0149     0.9990	-120.0102      0.9990     119.9736                               
808	0.9938     -0.1171     0.9917	-120.0785      0.9916     119.7826                               
810	0.9938     -0.1171     0.9917	-120.0788      0.9916     119.7826                               
812	0.9872     -0.2141     0.9830	-120.1347      0.9827     119.5770                               
814	0.9816     -0.2766     0.9758	-120.1644      0.9754     119.4224                               
850	0.9759     -0.9831     0.9702	-120.8463      0.9693     118.6958                               
816	0.9758     -0.9831     0.9701	-120.8460      0.9692     118.6947                               
818	0.9759     -0.9858     0.9701	-120.8460      0.9692     118.6947                               
820	0.9763     -1.0300     0.9701	-120.8460      0.9692     118.6947                               
822	0.9763     -1.0323     0.9701	-120.8460      0.9692     118.6947                               
824	0.9731     -0.9737     0.9668	-120.8329      0.9658     118.6579                               
826	0.9731     -0.9737     0.9668	-120.8329      0.9658     118.6579                               
828	0.9728     -0.9728     0.9665	-120.8316      0.9656     118.6549                               
830	0.9672     -0.9458     0.9598	-120.7966      0.9587     118.5865                               
854	0.9670     -0.9452     0.9597	-120.7957      0.9586     118.5855                               
852	0.9580     -0.8826     0.9483	-120.7033      0.9475     118.5250                               
832	0.9511     -1.5263     0.9416	-121.3572      0.9408     117.8761                               
858	0.9505     -1.5187     0.9408	-121.3454      0.9399     117.8754                               
834	0.9496     -1.5087     0.9397	-121.3305      0.9389     117.8750                               
842	0.9496     -1.5082     0.9397	-121.3299      0.9388     117.8750                               
844	0.9494     -1.5060     0.9395	-121.3267      0.9386     117.8751                               
846	0.9494     -1.5054     0.9394	-121.3256      0.9385     117.8751                               
848	0.9494     -1.5052     0.9394	-121.3254      0.9385     117.8751                               
860	0.9496     -1.5082     0.9397	-121.3299      0.9388     117.8749                               
836	0.9496     -1.5082     0.9397	-121.3299      0.9388     117.8748                               
840	0.9496     -1.5081     0.9397	-121.3298      0.9388     117.8748                               
862	0.9496     -1.5082     0.9397	-121.3299      0.9388     117.8748                               
838	0.9496     -1.5082     0.9397	-121.3301      0.9388     117.8748                               
864	0.9505     -1.5187     0.9408	-121.3454      0.9399     117.8754                               
888	0.9485     -1.8247     0.9391	-121.6607      0.9383     117.5769                               
890	0.9181     -2.0482     0.8990	-121.8001      0.9001     116.7424                               
856	0.9670     -0.9452     0.9597	-120.8004      0.9586     118.5855                               





